Voltage,Current,Species,Recording,replicate,Date,Venom,Quality,Set
90,-0.165100098,Rat,activation,4,Oct_12_16,Yes,Good,5
-80,-0.04486084,Rat,activation,4,Oct_12_16,Late,Good,5
-75,-0.034484863,Rat,activation,4,Oct_12_16,Late,Good,5
-70,-0.039367676,Rat,activation,4,Oct_12_16,Late,Good,5
-65,-0.037536621,Rat,activation,4,Oct_12_16,Late,Good,5
-60,-0.037841797,Rat,activation,4,Oct_12_16,Late,Good,5
-55,-0.032348633,Rat,activation,4,Oct_12_16,Late,Good,5
-50,-0.032653809,Rat,activation,4,Oct_12_16,Late,Good,5
-45,-0.05645752,Rat,activation,4,Oct_12_16,Late,Good,5
-40,-0.069274902,Rat,activation,4,Oct_12_16,Late,Good,5
-35,-0.101928711,Rat,activation,4,Oct_12_16,Late,Good,5
-30,-0.122680664,Rat,activation,4,Oct_12_16,Late,Good,5
-25,-0.153198242,Rat,activation,4,Oct_12_16,Late,Good,5
-20,-0.157165527,Rat,activation,4,Oct_12_16,Late,Good,5
-15,-0.211486816,Rat,activation,4,Oct_12_16,Late,Good,5
